rmse,mae,mape
2.2415482461380445,1.700668433636641,44.40279536911184
1.9226758612258883,1.4780480081110352,39.84642368305555
2.0074044348623175,1.5316529534657302,38.74197380639307
2.2548616741978575,1.6708387669920868,42.84815178270558
2.095340037781627,1.5991661335388128,42.28148943982325
2.126877489123159,1.5836997694996624,39.90355258103833
1.8498958949533573,1.3764747789893799,34.57226717750395
2.15993874323959,1.5476593460786046,42.443590763563954
1.782492432451732,1.3511020007628818,34.42625527303326
2.0403554986694568,1.583249207674601,40.67844316474141
2.100426521479964,1.6573980827249795,44.82683076704752
2.1818726256422467,1.7131386170611453,45.37264913700836
1.916460885855848,1.5465727470858757,42.4297572955428
2.219758343661268,1.7762135350106196,47.8765713154924
2.018727753816706,1.438726732079559,35.18818766542887
1.9064631620678465,1.4634523538264237,38.18112827380247
2.1691486058812877,1.6419074421715425,43.739583566566395
2.1392146012073887,1.645888315572814,42.794295375695654
2.193072896822877,1.6331217839461112,43.2187786071196
2.5504733024402957,1.9353978568161403,49.8874208478751
2.7543895390106004,2.1700930432159895,57.19543558545524
1.8119853922637108,1.388140428376603,35.254539530484486
2.0964073533767595,1.6204005143223452,42.24965863489216
1.9634492232243352,1.5081489979227252,38.77158794828731
2.1802140616073067,1.6541022188637822,43.61532548766233
1.9180070636136342,1.5379893787820236,40.11244333380625
2.097832359917974,1.6100680876687796,43.05333841391405
2.0265437499145067,1.559029042452655,40.44894295307345
2.2904433690294543,1.7318338841976104,45.553950478456514
2.0694263129482176,1.50311800119902,38.52281956943897
1.8204299530607764,1.392579582562281,35.63557706685804
2.2691739943874674,1.77544704628628,46.529314365174194
2.2133837293099523,1.706576183622034,44.49851671170944
2.191631876138861,1.683632786113315,44.75279209799915
1.9911307627004267,1.5669803999432061,42.898881732584684
2.113572011415557,1.552795763893881,39.21859072302509
1.9725973176933749,1.4315230349566312,37.072372894831304
2.301679726905628,1.7845378463807644,45.98045119738329
2.383559689491518,1.8268751394283995,47.64967986540411
1.8809462080570616,1.3985516723119154,37.56675616608732
1.7856348071510593,1.3467105982966072,36.52799622462727
1.928830202988231,1.3930519226109606,36.96199497174545
1.8726070517282996,1.3603290716321796,34.9268978121442
2.0944970496761255,1.6060077060476032,42.044662962763915
2.048077074362731,1.5376713798785935,40.491982849340054
2.2086554682224206,1.6952402305709942,44.570924107263366
2.5916390418953372,1.956634708832081,49.999043596943984
2.0987379433987883,1.5224181682196805,39.40811831463997
2.227874608827932,1.6348078467794902,41.7067947707009
2.145010011706016,1.6323894731401662,42.38120835609126
2.403290409354569,1.69851561729086,42.935404923338524
2.221086499280058,1.742056026960841,45.85381414591818
1.7870694273836378,1.440019492918652,39.649956468799495
2.1991266234413134,1.693343617011201,45.06293704404622
2.3240568469782112,1.7328767384800046,44.68254723967577
1.653995502529255,1.2375725232887855,33.82514440397294
1.687978632503365,1.3246362110612067,34.478347903902126
2.167099213712919,1.6510924918038423,43.17301640677711
2.0511846736530694,1.6472939731305742,42.2996642967747
1.895722034342849,1.4016430606018733,36.68612396559433
2.1731258376965323,1.5853556736404677,41.703932219994456
2.3428739014902797,1.8854265033421296,51.05361264173851
2.237379755976069,1.7457636293740468,46.34078942634059
2.141850606948843,1.6352158639954397,43.71696811602173
2.3068025225408624,1.8117321145332077,48.84675129571342
2.1630740776520243,1.7156232843678567,46.261364407218096
2.1845489423423503,1.6762775991689929,47.294897467376686
2.2891766648162077,1.75837810846667,45.28245211808227
1.8918772244486532,1.4795790184930708,39.53413456288946
1.8294783696298835,1.4701965709132938,38.92149571741855
1.8888088264863605,1.5127565869369728,40.61003004202325
2.1276268799336306,1.5158588657364072,41.55644211423355
1.9051371213560917,1.5019194471728112,39.06127031036165
2.1279020986744603,1.6308638141537402,42.985527931863224
2.097208165979294,1.6137154576710677,43.691723995077076
1.9781577580817746,1.5002879739673205,38.99599887093733
2.2186164250785048,1.7174621618121537,45.52173321416173
2.2875553663478074,1.747381496007959,44.575589714617465
1.8298248203747538,1.4555425330411005,37.98454066898676
2.184156148197155,1.7152984664495345,44.84391732464746
2.136834084067638,1.6156115588169133,42.45737885536777
2.0882659387183153,1.5836058609147377,42.88114985553508
1.9096678663049396,1.4718099000734066,36.93884655433486
1.9647926239666575,1.4579197997388973,36.81350753645088
1.9767288759696697,1.5356895643276407,41.17353524483987
1.8587894847247342,1.4373693305335702,37.13614601622875
1.7986822335140917,1.3807323210188833,36.25445645360214
1.9215615591401178,1.4956037298564742,40.912099893450815
1.718278606968503,1.404169466938955,37.636925595918775
2.206843911871329,1.6708900543464829,43.57055837431144
2.0138159978446573,1.527685609136488,40.669001851480616
2.300847725505995,1.784585512641146,47.954585825606
2.103974198795341,1.5556987542941871,42.046813583618786
2.26490097235835,1.7083367479671416,44.25568499764987
2.102896687105156,1.5262204258059773,39.065462768108155
2.3980415436192786,1.7987135715687046,47.17325837750962
2.050185654563246,1.5835146936529418,41.330187547487654
1.8686599215083848,1.3972161445301117,37.69208710437489
2.127951023714325,1.673252248132507,44.30224976649268
1.7858877956539883,1.3567873373894082,35.00138789779745
